"Country","Population","Over65_perc","Over80F_percf","Over80M_percm","Slums_perc","GDP_pcap_ppp","Imports_percgdp","PartTime_perc","Salaried_perc","Poverty_perc","StatsCapacity","SciArticles","HealthSpend_pcap_ppp","LifeExp","HospBed_per10thou","MD_per10thou","HygBasic_natperc","HygLimit_natperc","HygNone_natperc","HygBasic_ruralperc","HygLimit_ruralperc","HygNone_ruralperc","HygBasic_urbanperc","HygLimit_urbanperc","HygNone_urbanperc"
"Middle East & North Africa",448912859,5.18216135597133,1.02140428569152,0.777244760099915,NA,20712.4325108103,39.3929410089568,NA,70.986130427192,NA,NA,119302.31,1287.68650628506,73.9010335056528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle East & North Africa (excluding high income)",382896715,5.37543637508798,1.01103030783961,0.824262613847275,NA,13752.4084196543,32.9680430418037,20.5044947554129,63.5291620517879,NA,54.0740805555556,88918.47,904.703321704944,73.3942702537245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle East & North Africa (IDA & IBRD countries)",378327628,5.40251473043988,1.01717782915869,0.830076337382344,NA,13857.249179215,32.8040710543853,20.4245000853099,63.4726635857003,NA,52.9293,88542.52,904.703321704944,73.3901310655417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Middle income",5678540888,7.63701466475014,1.64645646736566,1.04330318529581,NA,12983.1995303248,25.6163551124586,NA,48.4459317136013,NA,67.1879349794239,1115764.85176396,588.145707549927,71.7024338527781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moldova",2706049,11.4695563413512,3.09961559530557,1.43488920733009,NA,7271.64191879281,54.998357631669,32.7599983215332,62.3409996032715,12.7,91.1111,210.37,476.731414794922,71.808,58,32.002,"87","7","6","82","10","8","93","2","4"
"Monaco",38682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.12,2991.0615234375,NA,NA,65.617,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mongolia",3170208,4.08353878726245,0.813654453964402,0.443128345443163,42.7,13799.9048471337,64.2328349644418,14.4700002670288,50.5709991455078,27.4,84.4444666666667,140.85,518.130615234375,69.689,70,28.866,"71","7","22","49","10","41","81","6","12"
"Montenegro",622227,14.9749366447439,4.19109608677708,2.64987499677827,NA,20689.9867512224,66.7342964918413,9.05000019073486,78.4069976806641,11.3,82.2222333333333,249.51,NA,76.77,40,23.337,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morocco",36029138,7.0129048211122,1.44209979192234,0.895347383480323,13.1,8611.70983312611,49.2554358334041,NA,49.8279991149902,8.9,66.6666666666667,5056.77,438.091278076172,76.453,11,7.273,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique",29495962,2.8907644574499,0.471233626643576,0.225021068433318,80.3,1459.69841306972,84.2244178956122,51.4000015258789,14.3859996795654,54.7,64.4445,139.25,61.7770576477051,60.163,7,0.735,"12","32","55","8","37","55","21","24","55"
"Myanmar",53708395,5.78464193257209,0.986136642569762,0.572078348369102,41,6674.02864731957,27.9886720392633,15.9099998474121,37.935001373291,NA,67.7778,230.65,287.640747070313,66.867,9,8.64,"79","15","6","74","19","7","92","5","3"
"Namibia",2448255,3.63603168074514,0.824916078336921,0.405442660931397,33.2,11101.8262817533,44.9191890291428,25.6100006103516,62.6790008544922,28.7,50.0000333333333,156.31,895.359558105469,63.373,27,3.721,"45","43","12","27","58","15","62","28","9"
"Nauru",12704,NA,NA,NA,NA,16504.2579284635,101.735306704708,NA,NA,NA,NA,0,1309.59326171875,NA,50,12.389,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nepal",28087871,5.72767077569198,0.765084770076777,0.738154159756918,54.3,3089.55635218567,46.2971031347845,31.2000007629395,20.5440006256104,25.2,77.7777666666667,792.11,150.073425292969,70.478,3,6.507,"48","51","0","43","56","1","67","32","0"
"Netherlands",17231624,19.1961926333387,5.74881365238194,3.64646480347354,NA,56328.9411363302,73.3313179310086,56.6599998474121,83.3820037841797,NA,NA,30457.33,5513.10009765625,81.7609756097561,47,35.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Caledonia",284060,9.17415792537671,1.82388308736803,1.03943466106625,NA,NA,NA,NA,83.1620025634766,NA,NA,NA,NA,77.1487804878049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand",4841000,15.6524245271741,4.28399263136679,3.17823476764377,NA,41005.4208705895,28.2741552092056,40.7099990844727,81.9509963989258,NA,NA,7888.75,3767.51342773438,81.8585365853659,28,30.252,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicaragua",6465513,5.24749744838026,1.32977271472668,0.875364918436826,45.5,5533.55106372852,51.2746732381436,NA,53.8370018005371,42.5,54.4444666666667,43.67,506.154968261719,74.275,9,10.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Niger",22442948,2.59500788269853,0.267188372592283,0.200988058965605,70.1,1063.42184074385,33.0366878691783,33.189998626709,5.65100002288818,48.9,67.7778,55.18,78.8516464233398,62.024,3,0.5,"9","75","16","5","78","17","30","57","13"
"Nigeria",195874740,2.74737700532743,0.241342450383656,0.20061221071083,50.2,5990.85043229634,17.5074563282189,NA,18.5520000457764,46,53.3333333333333,5602.28,221.095001220703,54.332,5,3.827,"42","33","25","31","40","28","53","25","23"
"Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,18.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North America",364290258,15.9525773634698,4.70282154416121,3.1352615630668,NA,61303.190654507,17.0284595564677,23.610065607836,92.8080976445872,NA,NA,482867.06854002,9351.85266825495,78.9142768005615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Korea",25549819,9.33452040978796,2.44949586641253,0.658590154656204,NA,NA,NA,NA,10.3870000839233,NA,NA,87.42,NA,72.095,143,36.745,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Macedonia",2082958,13.6701813815648,3.00947366398278,1.9865147666855,NA,16358.6620491976,72.8953760972152,12.8800001144409,76.6940002441406,27.1,75.5555666666667,493.05,926.917602539063,75.688,44,28.736,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Mariana Islands",56882,NA,NA,NA,NA,NA,54.875283446712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway",5311916,17.0492221563211,5.24231116221977,3.2039950192161,NA,65510.5852742471,32.6325314512612,48.4900016784668,93.5390014648438,NA,NA,11802.78,6518.873046875,82.8121951219512,39,46.336,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OECD members",1303529456,17.1186184107216,5.73011239210435,3.54629988046282,NA,45623.9030752608,28.9455518053269,29.333673202979,84.9600914200007,NA,NA,1415067.77,5040.76467950179,80.1384657252691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oman",4829483,2.39278695625796,0.627624486973292,0.29164289654679,NA,41859.934476789,44.5244554965406,NA,96.1419982910156,NA,NA,856.43,1590.84326171875,77.633,16,19.697,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other small states",30758989,5.49246578300642,1.46189802981453,0.687914428801891,NA,27067.5283673983,49.6599824710036,NA,68.930277864266,NA,57.0707090909091,6978.41384848077,1161.22488906798,68.2054875092564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pacific island small states",2457367,4.53731737663538,0.673938670862715,0.501505830449656,NA,6330.82474012657,NA,NA,43.7553903830404,NA,NA,189.45349153955,278.34272324963,69.7742837809553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pakistan",212215030,4.31277431133756,0.640955465905393,0.668168493512301,45.5,5567.05560794386,19.7492590168979,12.4300003051758,43.1110000610352,22.3,74.4444666666667,12904.31,160.558456420898,67.114,6,9.753,"60","32","8","46","43","11","83","12","5"
"Palau",17907,NA,NA,NA,NA,18510.2156584187,76.3032364313585,0.330000013113022,NA,NA,42.2222,6.51,1777.79992675781,NA,NA,11.848,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palestine",4569087,3.13330573708009,0.498672779268232,0.345939397968959,NA,5157.56857825854,59.7356303751394,26.2099990844727,69.8440017700195,25.8,66.6666666666667,375.95,NA,73.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panama",4176873,8.10473107966757,2.15027042689743,1.69079701355295,25.8,25553.6967088531,45.3073063942791,27.9799995422363,62.6319999694824,25.8,70,172.88,1794.80969238281,78.329,23,15.699,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papua New Guinea",8606316,3.44526925145617,0.395691298137517,0.301746207625705,NA,4336.24465709437,NA,NA,20.5209999084473,39.9,48.8888333333333,64.12,103.899589538574,64.263,NA,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paraguay",6956071,6.43021500946081,1.40835678059795,1.01873058586409,17.6,13599.9265632594,34.4058889899134,24.6200008392334,57.1430015563965,23.8,58.8889,97.98,866.626953125,74.131,13,13.66,"80","18","2","72","25","3","84","13","2"
"Peru",31989256,8.08839279183076,1.90024292853648,1.46155999397479,34.2,14418.070667873,23.5370450811417,23.9500007629395,45.6230010986328,23.9,80,1629.88,681.234558105469,76.516,16,12.7,NA,NA,NA,"56","42","3",NA,NA,NA
"Philippines",106651922,5.12256876829946,1.04925957731597,0.529499112361671,38.3,8951.08565366152,44.3747490184624,25.4200000762939,63.6609992980957,25.2,84.4444666666667,2237.34,371.742340087891,71.095,5,12.75,"78","12","10","73","14","13","85","9","6"
"Poland",37974750,17.5178167625452,6.02310669715736,2.90312619081144,NA,31336.6034966686,52.153985217767,25.6800003051758,79.911003112793,17.3,78.8889,35662.64,1958.16760253906,77.7536585365854,65,23.998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portugal",10283822,21.9538575375873,7.75348486193732,4.92825496004909,NA,33415.4379006894,43.4350262486775,28.8299999237061,83.3379974365234,NA,NA,14294.56,2917.35571289063,81.7243902439025,34,33.356,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Post-demographic dividend",1109997273,18.9545169673224,6.4655350001411,3.9666632634515,NA,48705.2074502773,29.6273830687137,30.2658882757858,87.9407783589421,NA,NA,1336298.34969714,5691.53895817191,80.6136376062954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pre-demographic dividend",919485393,2.75381363776434,0.366312310992303,0.249006738763128,NA,3985.94491486942,27.981704630817,NA,22.8087329124537,NA,54.8765546296296,18167.72,145.950587117788,60.427466911492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puerto Rico",3195153,18.6748502103569,5.79355342124807,3.81727029057804,NA,39540.5869304602,45.9429313889227,25.7299995422363,83.3539962768555,NA,NA,515.42,NA,79.7781951219512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Qatar",2781677,1.3700703387375,0.282074199309931,0.0873684295727136,NA,126898.425931605,34.3908188549984,0.140000000596046,99.5780029296875,NA,NA,1502.58,3354.3779296875,80.1,12,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Republic of the Congo",5244363,2.68171953903232,0.367836649753849,0.207618851959778,NA,5662.06341112502,56.0218574027979,NA,22.9479999542236,NA,48.8889,66.68,164.826278686523,64.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Romania",19466145,18.3387013938296,5.99391902301779,3.42296861334011,NA,28206.3570497561,44.8530544040469,13.539999961853,75.2180023193359,22.4,75.5555333333333,10345.01,1367.79187011719,75.409756097561,63,22.586,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Russia",144478050,14.6747083203719,5.26351835803256,2.03218740166955,NA,27588.1254398177,20.769322518279,8.9399995803833,93.2099990844727,10.8,78.8889,81579.36,1404.21667480469,72.6573170731707,82,40.139,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rwanda",12301939,2.9381960775388,0.441287970807325,0.283653239332565,53.2,2251.55638843363,34.1339613183534,55.0099983215332,31.943000793457,44.9,58.8889,169.52,134.371490478516,68.7,16,1.346,"5","10","86","3","10","87","13","8","79"
"Samoa",196130,4.80041197375197,0.951988504289759,0.53604509085176,NA,6483.53422795339,47.8120457103664,17.0300006866455,66.984001159668,NA,53.3333666666667,11.05,363.958068847656,73.187,NA,3.409,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Marino",33785,NA,NA,NA,NA,63037.1257778216,NA,NA,NA,NA,NA,10.81,4369.72412109375,85.4170731707317,NA,61.468,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Tome and Principe",211028,2.9256781090661,0.680962452223561,0.351349047758848,86.6,3418.58692982186,NA,NA,50.273998260498,61.7,60,0.73,209.237289428711,70.17,29,3.2,"41","14","45","47","17","36","39","13","48"
"Saudi Arabia",33699947,3.31408802294981,0.6139560660256,0.393734479827539,18,55335.6795892271,26.6643339172916,7.5,95.1169967651367,NA,NA,10897.88,2826.33447265625,74.998,27,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senegal",15854360,3.08682370101833,0.447213504502149,0.317852588790431,39.4,3782.53861264405,36.0852109664234,NA,34.5139999389648,46.7,76.6666666666667,388.32,143.091934204102,67.665,3,0.692,"24","22","54","9","23","68","42","21","37"
"Serbia",6982604,18.3457926916963,4.89551454243343,3.14271266676729,NA,17434.916125391,59.2929135991213,20.1900005340576,72.1029968261719,24.6,88.8889,4523.42,1382.16259765625,75.5390243902439,57,31.25,"98","0","1","98","1","1","98","0","2"
"Seychelles",96762,7.59454560435034,2.44491014161428,1.01297815577799,NA,30557.0757169393,102.082637916792,37.7000007629395,NA,37.8,68.8888666666667,9.53,1485.47375488281,72.8414634146341,36,9.458,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sierra Leone",7650154,2.96655621131612,0.428234027548853,0.276193937989888,75.6,1601.97402885788,39.2285313088917,27.3099994659424,11.2639999389648,52.9,58.8889,40.72,205.361297607422,54.309,4,0.25,"19","22","58","14","22","64","27","23","50"
